paper_id	term_1	term_2	id	sentence_index	segment_length	Term1	Term2	Sentence	True Negative	True Positive
Example	remdesivir	ritonavir	Example	0	66	@TERM$1	@TERM$2	fcacy of  @TERM$1  andcombination lopinavir  @TERM$2  and interf	0.9999634	3.657942e-05
Example	rtv	ifnb	Example	321	126	@TERM$1	@TERM$2	ritonavir  @TERM$1  were solubilized in 100 dmso and provided bygilead sciences inc recombinant human interferon beta  @TERM$2  protein w	0.9999753	2.4685682e-05
Example	remdesivir	rtv	Example	321	62	@TERM$1	@TERM$2	 @TERM$1  rdv lopinavirlpv and ritonavir  @TERM$2  were solubilized	0.9999931	6.8882346e-06
Example	ritonavir	ifnb	Example	321	141	@TERM$1	@TERM$2	irlpv and  @TERM$1  rtv were solubilized in 100 dmso and provided bygilead sciences inc recombinant human interferon beta  @TERM$2  protein waspur	0.999992	7.987238e-06
Example	remdesivir	ritonavir	Example	321	52	@TERM$1	@TERM$2	 @TERM$1  rdv lopinavirlpv and  @TERM$2  rtv were s	0.99999714	2.8386457e-06
Example	ritonavir	rtv	Example	321	39	@TERM$1	@TERM$2	irlpv and  @TERM$1   @TERM$2  were solubilize	0.9996865	0.00031354857
Example	remdesivir	ifnb	Example	321	164	@TERM$1	@TERM$2	 @TERM$1  rdv lopinavirlpv and ritonavir rtv were solubilized in 100 dmso and provided bygilead sciences inc recombinant human interferon beta  @TERM$2  protein waspurc	0.99999547	4.5446704e-06
Example	rtv	ifnb	Example	333	185	@TERM$1	@TERM$2	to better understand the antiviral activities of rdv lpv  @TERM$1   @TERM$2  orcombinations of lpvrtv or lpvrtvifnb we performed efcacy andcytotoxicity assays in human lung epithelial cells calu3	0.99999535	4.597903e-06
Example	lpv	ifnb	Example	333	185	@TERM$1	@TERM$2	to better understand the antiviral activities of rdv  @TERM$1  rtv  @TERM$2  orcombinations of lpvrtv or lpvrtvifnb we performed efcacy andcytotoxicity assays in human lung epithelial cells calu3	0.99999547	4.554958e-06
Example	lpv	rtv	Example	333	185	@TERM$1	@TERM$2	to better understand the antiviral activities of rdv  @TERM$1   @TERM$2  ifnb orcombinations of lpvrtv or lpvrtvifnb we performed efcacy andcytotoxicity assays in human lung epithelial cells calu3	0.99999714	2.9150776e-06
Example	lpv	rtv	Example	338	216	@TERM$1	@TERM$2	 @TERM$1  10 mmstock and  @TERM$2  10 mm stock were similarly diluted in dmso although variousamounts of stock compound were added directly to media to obtain the top fourdilutions in the tenpoint curve 50 m 25 m 125 m 625 m	0.999998	1.986034e-06
Example	ifnb	lpv	Example	342	109	@TERM$1	@TERM$2	tion with  @TERM$1  werst performed comparativeequilibrium dialysis ced23 and determined that 5 m  @TERM$2  in 10 fbsc	0.9999924	7.590339e-06
Example	ifnb	lopinavir	Example	343	227	@TERM$1	@TERM$2	we then combined a dose response of human  @TERM$1  with axedconcentration of lpvrtv molar ratio of 461 5 m  @TERM$2  and 11 mritonavir based on the human plasma equivalent maximal concentration of lpvas determined by ced ie 5 m	0.9999919	8.123044e-06
